POS,Nombre,Equipo,P,G
1,Martín Cauteruccio,Sporting Cristal,2,5
2,Bernardo Cuesta,Melgar,2,3
3,Juan Manuel Tévez,Cusco FC,2,2
4,Cecilio Waterman,Alianza Lima,2,2
5,Janio Posito,ADT,2,2
6,Lucas Cano,Sport Huancayo,2,2
7,Abdiel Ayarza,Cienciano del Cusco,2,1
8,Ignácio,Sporting Cristal,2,1
9,Matías Succar,Carlos A. Mannucci,2,1
10,Andy Polo,Universitario,2,1
11,Victor Cedrón,ADT,2,1
12,Lucas Colitto,Cusco FC,2,1
13,Yorleys Mena,César Vallejo,2,1
14,José Cortés,Carlos A. Mannucci,2,1
15,Catriel Cabellos,Alianza Lima,2,1
16,Victor Perlaza,UTC,2,1
17,Gerald Távara,Sporting Cristal,2,1
18,Santiago González,Sporting Cristal,2,1
19,Mauro Da Luz,Atlético Grau,2,1
20,Pablo Bueno,Sport Boys,2,1
21,Gustavo Cazonatti,Sporting Cristal,2,1
22,Ronal Huacca,Sport Huancayo,2,1
23,Edison Flores,Universitario,2,1
24,Horacio Benincasa,Alianza Atlético,2,1
25,Sebastian Rodriguez,Alianza Lima,2,1
26,Diego Dorregaray,Universitario,2,1
27,Pablo Lavandeira,Melgar,2,1
28,Marco Rodríguez,Cienciano del Cusco,2,1
29,Alejandro Ramirez Zarate,César Vallejo,2,1
30,Marlon de Jesús,Unión Comercio,2,1
31,Osnar Noronha,César Vallejo,2,1
32,Kelvin Sánchez,Unión Comercio,2,1
33,Oscar Barreto,César Vallejo,2,1
34,Horacio Calcaterra,Universitario,2,1
35,Luis Ramos,Cusco FC,2,1
36,Kevin Ruíz,UTC,2,1
37,Marlon Ruidías,Los Chankas,1,1
38,Abel Casquete,Los Chankas,1,1
39,José Rivera,Universitario,1,1
40,Gino Guerrero,Unión Comercio,1,1
41,Gut,Sport Huancayo,2,0
42,Jean Franco Falcioní,ADT,2,0
43,Ismael Quispe,Sport Boys,2,0
44,Facundo Mansilla,Sport Boys,2,0
45,Adrian Gutierrez,UTC,2,0
46,Carlos Lora,Sporting Cristal,2,0
47,José Villegas,Alianza Atlético,2,0
48,Jiovany Ramos,Alianza Lima,2,0
49,Denilson Vargas,Unión Comercio,2,0
50,Kevin Serna,Alianza Lima,2,0
